Year	Title	English Title	Director(s)	Duration	Prize	IMDb Link
1977	Monsieur Klein	Mr. Klein	Joseph Losey	2 h 03 min	Cesar	https://www.imdb.com/title/tt0074916/
1977	Padre padrone	Padre Padrone (Father and Master)	Paolo Taviani, Vittorio Taviani	1 h 54 min	Palme	https://www.imdb.com/title/tt0076517/
1977	Rocky	Rocky	John G. Avildsen	2 h 00 min	Oscar	https://www.imdb.com/title/tt0075148/
1978	Annie Hall	Annie Hall	Woody Allen	1 h 33 min	Oscar	https://www.imdb.com/title/tt0075686/
1978	L'Arbre aux sabots	The Tree of Wooden Clogs	Ermanno Olmi	3 h 06 min	Palme	https://www.imdb.com/title/tt0077138/
1978	Providence	Providence	Alain Resnais	1 h 50 min	Cesar	https://www.imdb.com/title/tt0076574/
1979	Apocalypse Now	Apocalypse Now	Francis Ford Coppola	2 h 27 min	Palme	https://www.imdb.com/title/tt0078788/
1979	L'Argent des autres	The Money of Others	Christian de Chalonge	1 h 45 min	Cesar	https://www.imdb.com/title/tt0077187/
1979	Le Tambour	The Tin Drum	Volker Schlöndorff	2 h 22 min	Palme	https://www.imdb.com/title/tt0078875/
1979	The Deer Hunter	The Deer Hunter	Michael Cimino	3 h 03 min	Oscar	https://www.imdb.com/title/tt0077416/
1980	Kagemusha, l'Ombre du guerrier	Kagemusha (The Shadow Warrior)	Akira Kurosawa	3 h 00 min	Palme	https://www.imdb.com/title/tt0080979/
1980	Kramer vs. Kramer	Kramer vs. Kramer	Robert Benton	1 h 45 min	Oscar	https://www.imdb.com/title/tt0079417/
1980	Que le spectacle commence	All That Jazz	Bob Fosse	2 h 03 min	Palme	https://www.imdb.com/title/tt0078754/
1980	Tess	Tess	Roman Polanski	2 h 51 min	Cesar	https://www.imdb.com/title/tt0080009/
1981	Le Dernier Métro	The Last Metro	François Truffaut	2 h 11 min	Cesar	https://www.imdb.com/title/tt0080610/
1981	L'Homme de fer	Man of Iron	Andrzej Wajda	2 h 33 min	Palme	https://www.imdb.com/title/tt0082215/
1981	Ordinary People	Ordinary People	Robert Redford	2 h 04 min	Oscar	https://www.imdb.com/title/tt0081283/
1982	Chariots of Fire	Chariots of Fire	Hugh Hudson	2 h 05 min	Oscar	https://www.imdb.com/title/tt0082158/
1982	La Guerre du feu	Quest for Fire	Jean-Jacques Annaud	1 h 40 min	Cesar	https://www.imdb.com/title/tt0082484/
1982	Missing	Missing	Costa-Gavras	2 h 02 min	Palme	https://www.imdb.com/title/tt0084335/
1982	Yol, la permission	Yol (The Way)	Serif Gören, Yilmaz Güney	1 h 53 min	Palme	https://www.imdb.com/title/tt0084934/
1983	Gandhi	Gandhi	Richard Attenborough	3 h 11 min	Oscar	https://www.imdb.com/title/tt0083987/
1983	La Balance	The Balance	Bob Swaim	1 h 42 min	Cesar	https://www.imdb.com/title/tt0083608/
1983	La Ballade de Narayama	The Ballad of Narayama	Shôhei Imamura	2 h 10 min	Palme	https://www.imdb.com/title/tt0084390/
1984	À nos amours	To Our Loves	Maurice Pialat	1 h 42 min	Cesar	https://www.imdb.com/title/tt0085117/
1984	Paris, Texas	Paris, Texas	Wim Wenders	2 h 25 min	Palme	https://www.imdb.com/title/tt0087884/
1984	Terms of Endearment	Terms of Endearment	James L. Brooks	2 h 12 min	Oscar	https://www.imdb.com/title/tt0086425/
1985	Amadeus	Amadeus	Milos Forman	2 h 40 min	Oscar	https://www.imdb.com/title/tt0086879/
1985	Les Ripoux	My New Partner	Claude Zidi	1 h 47 min	Cesar	https://www.imdb.com/title/tt0087991/
1985	Papa est en voyage d'affaires	When Father Was Away on Business	Emir Kusturica	2 h 16 min	Palme	https://www.imdb.com/title/tt0089748/
1986	Mission	The Mission	Roland Joffé	2 h 05 min	Palme	https://www.imdb.com/title/tt0091530/
1986	Out of Africa	Out of Africa	Sydney Pollack	2 h 41 min	Oscar	https://www.imdb.com/title/tt0089755/
1986	Trois Hommes et un couffin	Three Men and a Cradle	Coline Serreau	1 h 46 min	Cesar	https://www.imdb.com/title/tt0090213/
